PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.34231e+08,534231,-0.361635,-63.287,6.66552
1,5.3424e+08,534240,-0.346799,-63.302,6.64874
2,5.34248e+08,534248,-0.332255,-63.3168,6.63223
3,5.34256e+08,534256,-0.339087,-63.3141,6.62899
4,5.34265e+08,534265,-0.324219,-63.3275,6.61204
5,5.34273e+08,534273,-0.351927,-63.3235,6.67762
6,5.34281e+08,534281,-0.337591,-63.337,6.66145
7,5.3429e+08,534290,-0.352856,-63.3402,6.72852
8,5.34298e+08,534298,-0.338486,-63.3538,6.7125
9,5.34306e+08,534306,-0.357088,-63.3578,6.75025
10,5.34315e+08,534315,-0.341987,-63.3712,6.7335
11,5.34323e+08,534323,-0.359428,-63.3712,6.75064
12,5.34331e+08,534331,-0.34408,-63.3855,6.73304
13,5.3434e+08,534340,-0.356604,-63.3885,6.75345
14,5.34348e+08,534348,-0.34134,-63.4021,6.73647
15,5.34356e+08,534356,-0.345141,-63.4067,6.77071
16,5.34365e+08,534365,-0.330249,-63.4206,6.7539
17,5.34373e+08,534373,-0.338006,-63.4223,6.77347
18,5.34381e+08,534381,-0.324149,-63.4372,6.75747
19,5.3439e+08,534390,-0.32677,-63.4407,6.76321
20,5.34398e+08,534398,-0.310965,-63.4548,6.74567
21,5.34406e+08,534406,-0.312269,-63.4599,6.75996
22,5.34415e+08,534415,-0.298146,-63.4743,6.74401
23,5.34423e+08,534423,-0.297554,-63.478,6.75061
24,5.34431e+08,534431,-0.283127,-63.492,6.7348
25,5.3444e+08,534440,-0.283037,-63.4959,6.7481
26,5.34448e+08,534448,-0.267185,-63.5096,6.73043
27,5.34456e+08,534456,-0.266195,-63.5131,6.74293
28,5.34465e+08,534465,-0.249659,-63.5269,6.72502
29,5.34473e+08,534473,-0.25009,-63.5294,6.74022
30,5.34481e+08,534481,-0.237028,-63.5434,6.72499
31,5.3449e+08,534490,-0.235403,-63.5464,6.73731
32,5.34498e+08,534498,-0.220187,-63.5598,6.72004
33,5.34506e+08,534506,-0.218425,-63.563,6.73159
34,5.34515e+08,534515,-0.201708,-63.5777,6.7119
35,5.34523e+08,534523,-0.198526,-63.5808,6.71573
36,5.34531e+08,534531,-0.18336,-63.5943,6.69885
37,5.3454e+08,534540,-0.179696,-63.598,6.70124
38,5.34548e+08,534548,-0.165102,-63.6118,6.68473
39,5.34556e+08,534556,-0.161155,-63.6152,6.68795
40,5.34565e+08,534565,-0.145853,-63.6293,6.67051
41,5.34573e+08,534573,-0.142268,-63.6336,6.67612
42,5.34581e+08,534581,-0.126692,-63.6483,6.6591
43,5.3459e+08,534590,-0.12086,-63.6524,6.66821
44,5.34598e+08,534598,-0.104932,-63.6669,6.65129
45,5.34606e+08,534606,-0.0996049,-63.6709,6.65444
46,5.34615e+08,534615,-0.0832097,-63.6839,6.63618
47,5.34623e+08,534623,-0.0779485,-63.6885,6.63913
48,5.34631e+08,534631,-0.0620469,-63.7028,6.62115
49,5.3464e+08,534640,-0.0570942,-63.7073,6.62125
50,5.34648e+08,534648,-0.0419046,-63.7207,6.60447
51,5.34656e+08,534656,-0.035751,-63.7255,6.60831
52,5.34665e+08,534665,-0.0216357,-63.7397,6.59286
53,5.34673e+08,534673,-0.0167562,-63.7439,6.60269
54,5.34681e+08,534681,-0.00256236,-63.7587,6.58739
55,5.3469e+08,534690,0.00384614,-63.7636,6.59587
56,5.34698e+08,534698,0.018224,-63.7778,6.58002
57,5.34706e+08,534706,0.0246973,-63.7835,6.58592
58,5.34715e+08,534715,0.039784,-63.7972,6.56912
59,5.34723e+08,534723,0.0455414,-63.8022,6.57515
60,5.34731e+08,534731,0.0615964,-63.815,6.55731
61,5.3474e+08,534740,0.0671042,-63.8192,6.55989
62,5.34748e+08,534748,0.0831458,-63.8325,6.54285
63,5.34756e+08,534756,0.0900787,-63.8386,6.54621
64,5.34765e+08,534765,0.105731,-63.8526,6.52845
