timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
50,-3.08795e+36,0.209515,-0.032843,9.67438,0.29286,-0.975646,-2.9104,4.01709,-0.635742
51,-3.09059e+36,0.185005,-0.0465133,9.6929,0.280463,-0.914812,-1.23169,4.01709,-0.640625
52,-3.09323e+36,0.206621,-0.0302949,9.65971,0.285253,-1.07388,-5.40308,4.01782,-0.637451
53,-3.09587e+36,0.192129,-0.0203994,9.6836,0.25321,-1.11458,-6.55518,4.01636,-0.636719
54,-3.09851e+36,0.203795,-0.0624359,9.7092,0.278094,-1.1181,-6.07129,4.01758,-0.637939
55,-3.10115e+36,0.207257,-0.0530488,9.689,0.309215,-1.09236,7.54272,4.01636,-0.632812
56,-3.1038e+36,0.208857,-0.0399617,9.66697,0.283767,-1.05098,-4.37915,4.01709,-0.639893
57,-3.10644e+36,0.20259,-0.0577409,9.68352,0.281564,-0.990195,-2.99048,4.01807,-0.633545
58,-3.10908e+36,0.184903,-0.0294492,9.70558,0.160563,-1.01507,3.38794,4.01489,-0.636475
59,-3.11172e+36,0.195264,-0.0385539,9.70915,0.371176,-1.10149,4.00269,4.01587,-0.638428
60,-3.11436e+36,0.192754,-0.0381708,9.67988,0.256117,-1.07016,7.27783,4.0188,-0.634766
61,-3.117e+36,0.20934,-0.038188,9.72181,0.2872,-1.03143,4.09326,4.01685,-0.640381
62,-3.11964e+36,0.211966,-0.063534,9.73465,0.290888,-1.02155,-2.83228,4.01758,-0.631836
63,-3.12228e+36,0.171117,-0.0584508,9.69841,0.223471,-1.13048,7.94897,4.01685,-0.634033
64,-3.12492e+36,0.182026,-0.0438325,9.68361,0.296318,-0.993755,5.53418,4.01782,-0.636475
65,-3.12756e+36,0.198375,-0.0384247,9.69257,0.293065,-1.07416,5.06396,4.0166,-0.63623
66,-3.1302e+36,0.192786,-0.0378633,9.71642,0.219245,-1.10738,1.86255,4.01807,-0.636963
67,-3.13284e+36,0.184108,-0.0593797,9.67994,0.257564,-1.0278,6.97925,4.01611,-0.630615
68,-3.13549e+36,0.195533,-0.0428619,9.71272,0.226584,-1.04685,-1.45483,4.01733,-0.639404
69,-3.13813e+36,0.202938,-0.0300058,9.71991,0.186536,-1.00679,6.08472,4.01831,-0.636475
