timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-8.4856e-39,0,0,0,0,0,0,0,-0.269287
1,-8.49727e-39,-0.388621,-0.169193,9.8808,-0.195078,-0.272151,-7.52612,3.97559,-0.270752
2,-8.50895e-39,-0.408399,-0.173056,9.92659,-0.136088,-0.347585,6.32495,3.97388,-0.264893
3,-8.52063e-39,-0.380474,-0.180523,9.88449,-0.204939,-0.286879,7.74512,3.97119,-0.268555
4,-8.5323e-39,-0.376433,-0.188091,9.90097,-0.213085,-0.26229,6.68945,3.97607,-0.266357
5,-8.54398e-39,-0.374258,-0.191997,9.91197,-0.291772,-0.260625,5.95532,3.97583,-0.268555
6,-8.55566e-39,-0.370253,-0.188692,9.90465,-0.106581,-0.286982,6.06152,3.97485,-0.264648
7,-8.56734e-39,-0.364402,-0.196102,9.89001,-0.142697,-0.355782,7.89819,3.97437,-0.264404
8,-8.57901e-39,-0.393185,-0.177884,9.89004,-0.113164,-0.337801,-7.31494,3.97461,-0.270996
9,-8.59069e-39,-0.390874,-0.172505,9.90837,-0.177071,-0.318078,1.39526,3.97339,-0.267334
10,-8.60237e-39,-0.379437,-0.16355,9.90838,-0.0869603,-0.36572,-4.48486,3.97656,-0.271973
11,-8.61404e-39,-0.399143,-0.196539,9.93037,-0.167261,-0.339363,-6.89282,3.97266,-0.268311
12,-8.62572e-39,-0.396818,-0.174737,9.91209,-0.201686,-0.340977,2.59814,3.97583,-0.272705
13,-8.6374e-39,-0.376218,-0.176826,9.91209,-0.173869,-0.373788,6.11401,3.97485,-0.267578
14,-8.64907e-39,-0.368393,-0.175209,9.90111,-0.18204,-0.350838,5.53857,3.97363,-0.265381
15,-8.66075e-39,-0.378872,-0.166217,9.90113,-0.0968218,-0.368973,3.75439,3.97412,-0.267578
16,-8.67243e-39,-0.369273,-0.184622,9.89565,-0.163905,-0.288544,-5.31982,3.97314,-0.267334
17,-8.68411e-39,-0.40553,-0.193849,9.91582,-0.173767,-0.308216,-3.1189,3.97485,-0.26416
18,-8.69578e-39,-0.377642,-0.181289,9.87737,-0.160806,-0.388542,4.54102,3.97437,-0.267578
19,-8.70746e-39,-0.382634,-0.199772,9.91949,-0.22958,-0.373712,4.17114,3.97632,-0.267822
20,-8.71914e-39,-0.387577,-0.179844,9.88657,-0.214955,-0.437645,6.68945,3.97607,-0.268066
21,-8.73081e-39,-0.37051,-0.183821,9.89571,-0.123128,-0.38698,-7.78418,3.97241,-0.265869
22,-8.74249e-39,-0.373636,-0.174751,9.87378,-0.114957,-0.432957,0.656738,3.97632,-0.269531
23,-8.75417e-39,-0.371168,-0.173035,9.89393,-0.165647,-0.329527,-0.753906,3.97144,-0.271729
24,-8.76584e-39,-0.392827,-0.200594,9.89945,-0.213162,-0.3409,5.59131,3.97363,-0.269775
25,-8.77752e-39,-0.407004,-0.198942,9.90864,-0.167312,-0.37051,-0.389404,3.97363,-0.265625
26,-8.7892e-39,-0.399121,-0.195502,9.93613,-0.193516,-0.375402,3.33228,3.97607,-0.266357
27,-8.80088e-39,-0.395023,-0.19018,9.86289,-0.154198,-0.357421,-7.94287,3.97339,-0.266113
28,-8.81255e-39,-0.388893,-0.162906,9.87574,-0.198562,-0.427835,2.3606,3.97681,-0.263428
29,-8.82423e-39,-0.375639,-0.186982,9.85924,-0.200047,-0.355705,-3.11865,3.97485,-0.266113
30,-8.83591e-39,-0.378793,-0.200058,9.9215,-0.213341,-0.429448,5.90308,3.97583,-0.264648
31,-8.84758e-39,-0.359838,-0.189407,9.91784,-0.090367,-0.408445,5.95679,3.97485,-0.267822
32,-8.85926e-39,-0.392255,-0.183764,9.89229,-0.0376273,-0.295486,5.64502,3.97266,-0.271484
33,-8.87094e-39,-0.399193,-0.181861,9.87766,-0.218105,-0.339184,3.49512,3.97192,-0.269775
34,-8.88262e-39,-0.385896,-0.180366,9.88681,-0.0764329,-0.131452,5.53857,3.97363,-0.266602
35,-8.89429e-39,-0.40219,-0.174823,9.88685,-0.139341,-0.316489,1.60596,3.97241,-0.268799
36,-8.90597e-39,-0.392648,-0.178671,9.87769,-0.160652,-0.345971,-1.59839,3.97534,-0.268799
37,-8.91765e-39,-0.390402,-0.187998,9.88135,-0.0313262,-0.393921,0.657959,3.97534,-0.269043
38,-8.92932e-39,-0.389758,-0.173335,9.88688,-0.148972,-0.259062,-6.84058,3.97266,-0.266846
39,-8.941e-39,-0.391425,-0.200945,9.89237,-0.18829,-0.278632,-4.85059,3.97534,-0.266113
40,-8.95268e-39,-0.372613,-0.171947,9.85758,-0.093492,-0.3232,-2.90625,3.9729,-0.266846
41,-8.96435e-39,-0.359345,-0.181303,9.89418,-0.168977,-0.368871,2.75659,3.97485,-0.269043
42,-8.97603e-39,-0.400795,-0.16287,9.9053,-0.130863,-0.267361,7.68726,3.97534,-0.268799
43,-8.98771e-39,-0.378729,-0.196124,9.90522,-0.117902,-0.295281,-5.5835,3.97412,-0.267822
44,-8.99939e-39,-0.389222,-0.179644,9.89246,-0.0358343,-0.259498,1.23755,3.97339,-0.267578
45,-9.01106e-39,-0.399887,-0.186875,9.90714,-0.0902133,-0.339619,-0.494385,3.97363,-0.264404
46,-9.02274e-39,-0.386597,-0.181532,9.89431,-0.184013,-0.416283,-1.17603,3.97339,-0.268066
47,-9.03442e-39,-0.388063,-0.200022,9.87601,-0.118363,-0.410033,1.81274,3.97461,-0.265869
48,-9.04609e-39,-0.381969,-0.19651,9.87783,-0.070516,-0.34633,-7.73584,3.97559,-0.269287
49,-9.05777e-39,-0.387005,-0.203842,9.90167,-0.0882666,-0.274098,1.86523,3.97461,-0.268066
50,-9.06945e-39,-0.382842,-0.192969,9.92183,-0.127789,-0.324737,1.70654,3.97559,-0.267822
51,-9.08112e-39,-0.404372,-0.181861,9.88713,-0.141134,-0.360725,-0.38916,3.97363,-0.26709
52,-9.0928e-39,-0.398184,-0.172934,9.92926,-0.140827,-0.308293,-6.52856,3.97485,-0.265869
53,-9.10448e-39,-0.385131,-0.18415,9.90541,-0.162343,-0.32945,6.6416,3.9729,-0.265137
54,-9.11616e-39,-0.362484,-0.155202,9.88343,-0.216543,-0.343922,-5.63281,3.97192,-0.266602
55,-9.12783e-39,-0.3786,-0.164451,9.87798,-0.0720272,-0.311905,2.54688,3.97485,-0.267334
56,-9.13951e-39,-0.383578,-0.164479,9.9128,-0.196333,-0.245692,-0.913574,3.97339,-0.26709
57,-9.15119e-39,-0.37247,-0.183113,9.90544,-0.110218,-0.421559,-7.78857,3.97559,-0.270752
58,-9.16286e-39,-0.393979,-0.19028,9.89453,-0.215032,-0.403014,3.43726,3.97607,-0.26416
59,-9.17454e-39,-0.382334,-0.18518,9.91466,-0.242721,-0.343794,2.49634,3.97363,-0.266357
60,-9.18622e-39,-0.387813,-0.205437,9.83775,-0.0486414,-0.23834,3.38599,3.9751,-0.268311
61,-9.19789e-39,-0.398056,-0.185266,9.90742,-0.126995,-0.48708,-7.78857,3.97559,-0.268066
62,-9.20957e-39,-0.41563,-0.174172,9.88737,-0.172461,-0.385136,-4.53345,3.97339,-0.264893
63,-9.22125e-39,-0.374809,-0.174808,9.89275,-0.221768,-0.417691,-1.22949,3.97437,-0.266113
64,-9.23293e-39,-0.372506,-0.187927,9.90923,-0.160627,-0.324584,5.53857,3.97363,-0.265869
65,-9.2446e-39,-0.372091,-0.1844,9.8891,-0.162061,-0.286828,-1.01855,3.97339,-0.268555
66,-9.25628e-39,-0.388278,-0.193535,9.8928,-0.122487,-0.269078,-6.7395,3.97583,-0.269043
67,-9.26796e-39,-0.395259,-0.193556,9.89102,-0.198357,-0.350633,-2.43848,3.97607,-0.265869
68,-9.27963e-39,-0.389036,-0.179222,9.91483,-0.172204,-0.360623,-1.49341,3.97534,-0.27002
