timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
56,-1.69798e-37,-0.0824794,0.0317658,9.67589,0.385148,-0.37384,2.03931,3.91943,-0.536133
57,-1.69892e-37,-0.0802048,0.0212654,9.6576,0.360508,-0.432753,-0.32666,3.92334,-0.528564
58,-1.69985e-37,-0.0905194,0.0310006,9.67227,0.342321,-0.49018,-4.72559,3.91748,-0.532715
59,-1.70078e-37,-0.084425,0.0258861,9.64481,0.380307,-0.308293,-0.526367,3.91553,-0.534912
60,-1.70172e-37,-0.0676015,0.0171668,9.62831,0.435967,-0.391872,-6.9375,3.92383,-0.530273
61,-1.70265e-37,-0.0943391,0.0290193,9.67597,0.353848,-0.364106,3.11719,3.90601,-0.533203
62,-1.70359e-37,-0.0736886,0.0385538,9.66123,0.439271,-0.242977,6.37427,3.90259,-0.528076
63,-1.70452e-37,-0.0751549,0.0373951,9.67406,0.46363,-0.336545,2.14258,3.88916,-0.533936
64,-1.70546e-37,-0.0655487,0.0306928,9.67222,0.455844,-0.275532,1.09204,3.92188,-0.530762
65,-1.70639e-37,-0.100061,0.0349774,9.63387,0.278516,-0.478448,0.927002,3.92749,-0.529785
66,-1.70732e-37,-0.0899543,0.0520516,9.69971,0.152392,-0.343948,6.39673,3.91675,-0.532227
67,-1.70826e-37,-0.0291764,0.0464434,9.66474,0.467447,-0.273791,-0.651611,3.93066,-0.528564
68,-1.70919e-37,-0.0856267,0.0381103,9.65397,0.427847,-0.314876,3.14136,3.91919,-0.531006
69,-1.71013e-37,-0.0740105,0.0589394,9.68499,0.49844,-0.247843,-5.61523,3.91577,-0.527344
70,-1.71106e-37,-0.083066,0.0521156,9.62462,0.291656,-0.262443,-7.15552,3.89893,-0.530518
71,-1.71199e-37,-0.108186,0.0290759,9.69073,0.311405,-0.393255,3.44849,3.92456,-0.532471
72,-1.71293e-37,-0.0876152,0.0128894,9.67058,0.401695,-0.293513,1.14575,3.92065,-0.528564
73,-1.71386e-37,-0.0725155,0.0262152,9.66866,0.286585,-0.460544,6.97217,3.91797,-0.533691
74,-1.7148e-37,-0.0826797,0.057845,9.68139,0.386941,-0.376939,6.85229,3.9292,-0.526367
75,-1.71573e-37,-0.0712352,0.0400345,9.68143,0.334176,-0.354245,-2.51001,3.9082,-0.531738
76,-1.71666e-37,-0.0597692,0.038611,9.6759,0.273317,-0.421405,5.43164,3.90112,-0.531006
77,-1.7176e-37,-0.0721151,0.0133975,9.67056,0.232667,-0.327785,-3.4563,3.90967,-0.528564
78,-1.71853e-37,-0.0590181,0.00984946,9.63025,0.323008,-0.263929,-3.30713,3.91577,-0.531494
79,-1.71947e-37,-0.0712566,0.0288045,9.66318,0.0404321,-0.496276,1.47827,3.90747,-0.527344
80,-1.7204e-37,-0.0798114,0.0251494,9.64309,0.181541,-0.422814,-0.187256,3.90552,-0.533203
81,-1.72134e-37,-0.0737172,0.0272166,9.64125,0.167069,-0.448659,4.60083,3.92603,-0.526367
82,-1.72227e-37,-0.0784738,0.0421803,9.65402,0.239199,-0.319614,-1.67065,3.9082,-0.529297
83,-1.7232e-37,-0.076142,0.0552986,9.6503,0.399646,-0.31526,-3.9939,3.88818,-0.531982
84,-1.72414e-37,-0.0940172,0.0249565,9.68164,0.361814,-0.390515,1.9292,3.89209,-0.528564
85,-1.72507e-37,-0.0679305,0.0270735,9.65772,0.226161,-0.288391,-4.08569,3.90967,-0.534424
86,-1.72601e-37,-0.0692967,0.0311082,9.66687,-0.041034,-0.312366,-0.259766,3.91235,-0.527344
87,-1.72694e-37,-0.0616934,0.0272167,9.63389,0.292707,-0.54607,3.4917,3.90039,-0.529785
88,-1.72787e-37,-0.0881161,0.00798271,9.71469,0.47841,-0.287571,3.08789,3.88867,-0.531494
89,-1.72881e-37,-0.0914487,0.0414077,9.66695,0.254516,-0.0753571,4.72754,3.90991,-0.526367
90,-1.72974e-37,-0.0970712,0.0379172,9.61937,0.260177,-0.519534,1.99292,3.91479,-0.531494
91,-1.73068e-37,-0.0959411,0.0404922,9.70177,0.161511,-0.611181,-6.8147,3.91064,-0.525635
92,-1.73161e-37,-0.0732237,0.0386826,9.67788,0.169195,-0.318974,-1.75732,3.93384,-0.530518
93,-1.73255e-37,-0.0784881,0.0387326,9.6303,0.368678,-0.5244,5.37964,3.93213,-0.528076
94,-1.73348e-37,-0.0793322,0.0431603,9.67974,0.206489,-0.4045,-5.88672,3.92285,-0.533203
95,-1.73441e-37,-0.0696973,0.0415079,9.66323,0.285279,-0.281936,-1.25732,3.91309,-0.531494
96,-1.73535e-37,-0.0712924,0.0290048,9.64498,0.312545,-0.576986,3.82422,3.91846,-0.529785
97,-1.73628e-37,-0.0629239,0.0150498,9.70363,0.434302,-0.334778,-1.36035,3.91162,-0.536133
98,-1.73722e-37,-0.0535104,0.00447053,9.67066,0.383714,-0.290286,-3.41528,3.91821,-0.523438
99,-1.73815e-37,-0.073238,0.0288188,9.65052,0.227698,-0.375223,4.67041,3.91309,-0.531494
100,-1.73908e-37,-0.0888738,0.0349986,9.70551,0.26033,-0.282192,-1.21191,3.88696,-0.530762
101,-1.74002e-37,-0.0723081,0.0459141,9.63579,0.365118,-0.477244,-2.09546,3.91211,-0.528076
102,-1.74095e-37,-0.0787313,0.0448626,9.67978,0.386788,-0.328118,-0.311035,3.91162,-0.532715
103,-1.74189e-37,-0.0673011,0.0471587,9.67605,0.508635,-0.159474,-7.08521,3.91675,-0.528076
104,-1.74282e-37,-0.0820789,0.0148135,9.63969,0.296139,-0.51313,-5.50439,3.91138,-0.532227
105,-1.74376e-37,-0.0920571,0.0228676,9.68732,0.35372,-0.37407,1.54712,3.90356,-0.526367
106,-1.74469e-37,-0.0697831,0.0394193,9.63034,0.302978,-0.360802,-0.304932,3.90674,-0.532227
107,-1.74562e-37,-0.0855553,0.0437686,9.66155,0.202365,-0.563897,4.4895,3.89966,-0.530273
108,-1.74656e-37,-0.0682739,0.0385109,9.66882,0.329489,-0.197076,5.80884,3.89355,-0.526855
109,-1.74749e-37,-0.0645115,0.0150997,9.65978,0.351594,-0.507034,5.65869,3.88843,-0.533691
110,-1.74843e-37,-0.0819644,0.0231251,9.67815,0.290043,-0.290286,1.21704,3.90674,-0.528076
111,-1.74936e-37,-0.0924576,0.0291335,9.68735,0.423288,-0.290209,-3.79272,3.92578,-0.532227
112,-1.75029e-37,-0.0851544,0.0201778,9.62143,0.244065,-0.393255,-5.6123,3.91382,-0.530762
113,-1.75123e-37,-0.0770576,0.00431316,9.67643,0.214865,-0.414105,-7.15625,3.93066,-0.528076
114,-1.75216e-37,-0.0818571,0.0302565,9.67082,0.281718,-0.383573,-4.66626,3.91235,-0.531006
115,-1.7531e-37,-0.0665713,0.0506918,9.66878,0.25718,-0.425965,5.60669,3.91943,-0.529297
116,-1.75403e-37,-0.0697333,0.0273099,9.67261,0.232564,-0.40304,0.943604,3.91479,-0.532227
117,-1.75497e-37,-0.0802406,0.0276171,9.65803,0.316016,-0.470431,6.60645,3.91675,-0.529053
