timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-6.26267e-34,0,0,0,0,0,0,0,-0.048584
1,-6.26649e-34,0.195103,0.132103,10.2489,1.70164,2.29664,-4.8645,3.98584,-0.050293
2,-6.27032e-34,0.176987,0.105305,10.2618,1.57529,2.18199,-2.97974,3.98853,-0.0471191
3,-6.27414e-34,0.15927,0.120543,10.2398,1.75887,2.10648,1.79541,3.98804,-0.0527344
4,-6.27797e-34,0.192842,0.103062,10.2289,1.87848,1.96701,4.21021,3.98657,-0.0515137
5,-6.2818e-34,0.199038,0.124185,10.2857,1.91944,1.99326,-1.08984,3.98779,-0.052002
6,-6.28562e-34,0.192409,0.119524,10.251,1.81465,2.10317,-3.18774,3.9873,-0.0527344
7,-6.28945e-34,0.202083,0.13314,10.2565,1.75897,2.12126,-7.48901,3.98706,-0.052002
8,-6.29328e-34,0.18796,0.12465,10.2382,1.6655,2.14597,-2.92578,3.98755,-0.0495605
9,-6.2971e-34,0.186633,0.132561,10.2529,1.64734,2.14613,6.46045,3.99072,-0.0461426
10,-6.30093e-34,0.187192,0.120279,10.2273,1.74091,2.16721,-2.92749,3.98853,-0.0480957
11,-6.30475e-34,0.189407,0.128613,10.2731,1.94416,2.06186,1.27246,3.98657,-0.048584
12,-6.30858e-34,0.193523,0.114963,10.2879,1.87049,2.12925,-3.71191,3.98706,-0.0480957
13,-6.31241e-34,0.196144,0.132396,10.2476,1.90456,1.852,7.35962,3.98511,-0.0541992
14,-6.31623e-34,0.206066,0.120407,10.2551,1.84739,1.98822,-5.44067,3.98535,-0.0437012
15,-6.32006e-34,0.204958,0.141185,10.2495,1.6246,2.16096,3.89355,3.98804,-0.0546875
16,-6.32389e-34,0.196069,0.125275,10.2661,1.55756,2.24636,-0.302734,3.98779,-0.0476074
17,-6.32771e-34,0.174434,0.114669,10.2478,1.4922,2.30875,3.36987,3.9873,-0.0505371
18,-6.33154e-34,0.189459,0.111292,10.2296,1.60854,2.23293,7.30591,3.98608,-0.0471191
19,-6.33537e-34,0.1624,0.114003,10.2533,1.84562,2.11296,-7.85815,3.98877,-0.0461426
20,-6.33919e-34,0.173808,0.102227,10.2645,1.95215,1.95827,-3.02808,3.9856,-0.0507812
21,-6.34302e-34,0.183924,0.119605,10.2535,2.03258,1.99739,6.57227,3.9856,-0.045166
22,-6.34684e-34,0.195576,0.130153,10.2811,2.13847,1.77915,1.06299,3.98633,-0.0480957
23,-6.35067e-34,0.187616,0.127423,10.2426,1.95674,1.93893,5.67651,3.98853,-0.0466309
24,-6.3545e-34,0.208173,0.110123,10.265,1.75625,1.8561,-4.08252,3.98975,-0.0471191
25,-6.35832e-34,0.2055,0.102992,10.2321,1.55249,2.24697,3.7854,3.99072,-0.0507812
26,-6.36215e-34,0.183787,0.125686,10.2538,1.55106,2.26162,6.46216,3.9895,-0.0480957
27,-6.36598e-34,0.181846,0.120918,10.2942,1.59593,2.35796,-2.71606,3.98755,-0.0490723
28,-6.3698e-34,0.180585,0.1158,10.2559,1.77249,2.18842,-5.39014,3.98682,-0.0461426
29,-6.37363e-34,0.17358,0.127958,10.2851,1.92111,2.03214,-6.07227,3.98682,-0.0515137
30,-6.37745e-34,0.185396,0.121553,10.2706,2.02697,1.82508,-4.76025,3.98633,-0.052002
31,-6.38128e-34,0.187923,0.0949621,10.2582,1.8623,2.00097,0.697266,3.98511,-0.0505371
32,-6.38511e-34,0.19786,0.121514,10.2728,1.87495,1.98322,4.68115,3.9873,-0.0507812
33,-6.38893e-34,0.18411,0.125841,10.2488,1.74287,2.14276,7.698,3.98706,-0.0471191
34,-6.39276e-34,0.185661,0.10671,10.2986,1.69462,2.36095,7.67212,3.98682,-0.0505371
35,-6.39659e-34,0.180563,0.118292,10.2857,1.68561,2.23339,7.56494,3.98853,-0.0461426
36,-6.40041e-34,0.192039,0.120542,10.2731,1.64586,2.15161,5.36133,3.98877,-0.0480957
37,-6.40424e-34,0.190913,0.12291,10.253,1.6916,1.9771,0.119873,3.98535,-0.0541992
38,-6.40807e-34,0.188188,0.13083,10.2493,1.85266,2.07479,-4.02466,3.9856,-0.0439453
39,-6.41189e-34,0.190694,0.150292,10.2675,2.05848,1.93289,7.6731,3.98608,-0.0522461
40,-6.41572e-34,0.184095,0.131123,10.2549,1.92536,2.00625,-3.24292,3.9895,-0.0490723
41,-6.41954e-34,0.189796,0.119447,10.2717,1.84752,2.00758,-0.929443,3.98535,-0.0505371
42,-6.42337e-34,0.201496,0.116238,10.2573,1.64593,2.0596,-1.14062,3.98633,-0.0478516
43,-6.4272e-34,0.18144,0.118995,10.2919,1.4925,2.2953,-1.56348,3.98877,-0.0510254
44,-6.43102e-34,0.193166,0.113418,10.2593,1.6611,2.22387,-2.45508,3.98853,-0.0498047
45,-6.43485e-34,0.177127,0.103157,10.2538,1.86411,2.23611,1.00586,3.98999,-0.0456543
46,-6.43868e-34,0.186915,0.127791,10.2482,1.87091,2.09427,5.54932,3.9856,-0.048584
47,-6.4425e-34,0.194602,0.123358,10.2632,1.88537,1.88827,5.25586,3.98877,-0.0500488
48,-6.44633e-34,0.188409,0.135272,10.252,1.96497,1.86559,0.199707,3.98462,-0.0500488
49,-6.45016e-34,0.186966,0.118015,10.2652,1.83256,2.01767,-3.71143,3.98657,-0.0507812
50,-6.45398e-34,0.191027,0.113289,10.2727,1.70656,2.11219,7.04077,3.98804,-0.048584
51,-6.45781e-34,0.186596,0.128234,10.2487,1.63438,2.14559,-4.9729,3.98877,-0.0556641
52,-6.46163e-34,0.188434,0.119746,10.2637,1.52013,2.15751,-1.64038,3.9873,-0.0500488
53,-6.46546e-34,0.170519,0.0963268,10.2528,1.62912,2.2946,5.75635,3.98779,-0.0515137
54,-6.46929e-34,0.202234,0.116627,10.2477,1.66809,2.15448,-4.54932,3.9856,-0.0522461
55,-6.47311e-34,0.171334,0.112526,10.2638,1.83549,1.94038,2.5061,3.98608,-0.0456543
56,-6.47694e-34,0.185204,0.129733,10.2694,2.04498,1.97554,-3.92285,3.98804,-0.0529785
57,-6.48077e-34,0.224308,0.130931,10.283,2.20558,1.5141,-0.244385,3.98291,-0.0471191
58,-6.48459e-34,0.219672,0.139757,10.3012,1.81132,1.72892,2.74292,3.98535,-0.0456543
59,-6.48842e-34,0.195417,0.125074,10.2663,1.58273,2.50384,-6.62646,3.9895,-0.0466309
60,-6.49224e-34,0.180511,0.120074,10.2608,1.31311,2.4605,5.70654,3.9856,-0.0466309
61,-6.49607e-34,0.156472,0.11359,10.2734,1.51883,2.18068,-6.91187,3.98706,-0.0527344
62,-6.4999e-34,0.160896,0.128554,10.2734,1.75382,2.27909,-2.29639,3.98755,-0.0471191
63,-6.50372e-34,0.160978,0.090567,10.254,1.70919,2.05677,7.17114,3.98877,-0.0517578
64,-6.50755e-34,0.185549,0.116962,10.267,1.80989,1.77462,-0.980957,3.98486,-0.0471191
65,-6.51138e-34,0.203665,0.124486,10.2545,2.25385,1.99617,-7.67139,3.98633,-0.052002
66,-6.5152e-34,0.205676,0.135561,10.2856,2.2903,2.05995,6.12476,3.98682,-0.0515137
67,-6.51903e-34,0.191656,0.139176,10.2817,2.01054,1.75586,-7.9353,3.98755,-0.0490723
68,-6.52286e-34,0.201901,0.122863,10.2549,1.70283,2.01902,-0.118896,3.9873,-0.0510254
69,-6.52668e-34,0.198148,0.123778,10.2824,1.43356,2.23808,4.52173,3.98901,-0.0476074
70,-6.53051e-34,0.198453,0.10903,10.2682,1.39968,2.35703,7.25439,3.9856,-0.0510254
71,-6.53433e-34,0.174918,0.0929439,10.2554,1.54716,2.26813,-1.66748,3.98828,-0.0466309
72,-6.53816e-34,0.184797,0.12273,10.2643,1.77404,2.20923,-4.00415,3.98975,-0.0495605
73,-6.54199e-34,0.157686,0.118602,10.2639,1.97435,2.08175,7.54175,3.98608,-0.0517578
74,-6.54581e-34,0.174927,0.12862,10.2661,2.03139,1.90783,2.81909,3.9873,-0.0480957
75,-6.54964e-34,0.195572,0.0978712,10.249,1.81985,1.85525,-4.34009,3.98608,-0.0517578
76,-6.55347e-34,0.197318,0.123892,10.234,1.85095,1.93432,-2.19189,3.98804,-0.052002
77,-6.55729e-34,0.197576,0.115607,10.2435,1.7556,2.16399,2.87305,3.98584,-0.0534668
78,-6.56112e-34,0.188754,0.135223,10.2632,1.75719,2.06627,-4.68384,3.98779,-0.0524902
79,-6.56494e-34,0.172403,0.121611,10.2687,1.71377,2.1486,-4.94507,3.98755,-0.0480957
80,-6.56877e-34,0.171455,0.134906,10.2612,1.74035,2.18936,1.58545,3.98779,-0.052002
81,-6.5726e-34,0.178749,0.124992,10.2746,1.8605,1.8501,-4.4458,3.98657,-0.0456543
82,-6.57642e-34,0.200394,0.126849,10.2551,1.89509,1.77005,0.456787,3.98853,-0.0495605
83,-6.58025e-34,0.196626,0.162564,10.2544,1.94653,1.85337,4.86279,3.98901,-0.0466309
84,-6.58408e-34,0.198222,0.128905,10.2663,1.82891,1.9421,-2.21558,3.98608,-0.0461426
