PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.34379e+08,534379,0.0343273,1.18542,45.7783
1,5.34387e+08,534387,0.0358156,1.18741,45.7816
2,5.34396e+08,534396,0.0383167,1.18852,45.786
3,5.34404e+08,534404,0.0298541,1.20286,45.7586
4,5.34412e+08,534412,0.0314814,1.2053,45.7629
5,5.34421e+08,534421,0.0338339,1.19672,45.776
6,5.34429e+08,534429,0.0357951,1.19746,45.7798
7,5.34437e+08,534437,0.0374786,1.18707,45.814
8,5.34446e+08,534446,0.0400624,1.1876,45.8175
9,5.34454e+08,534454,0.0429066,1.18449,45.8346
10,5.34462e+08,534462,0.0455235,1.1858,45.8388
11,5.34471e+08,534471,0.0456086,1.18328,45.8471
12,5.34479e+08,534479,0.0483492,1.18428,45.8517
13,5.34487e+08,534487,0.0473588,1.18292,45.8515
14,5.34496e+08,534496,0.0501453,1.18401,45.8557
15,5.34504e+08,534504,0.0504734,1.18349,45.8526
16,5.34512e+08,534512,0.0518733,1.18481,45.8568
17,5.34521e+08,534521,0.0526638,1.18714,45.8768
18,5.34529e+08,534529,0.0548148,1.18823,45.8811
19,5.34537e+08,534537,0.0566805,1.18676,45.8895
20,5.34546e+08,534546,0.0591828,1.18803,45.8937
21,5.34554e+08,534554,0.0614666,1.18753,45.8896
22,5.34562e+08,534562,0.0634228,1.18952,45.8945
23,5.34571e+08,534571,0.0646713,1.18932,45.9113
24,5.34579e+08,534579,0.066732,1.19066,45.9155
25,5.34587e+08,534587,0.0694424,1.19091,45.9019
26,5.34596e+08,534596,0.0717666,1.19302,45.9054
27,5.34604e+08,534604,0.0735416,1.19347,45.8887
28,5.34612e+08,534612,0.0763608,1.19463,45.8937
29,5.34621e+08,534621,0.0779133,1.19448,45.8845
30,5.34629e+08,534629,0.080772,1.19593,45.8877
31,5.34637e+08,534637,0.082339,1.1966,45.8934
32,5.34646e+08,534646,0.0845458,1.19768,45.8973
33,5.34654e+08,534654,0.086161,1.19729,45.9027
34,5.34662e+08,534662,0.0884722,1.19866,45.9064
35,5.34671e+08,534671,0.0899995,1.19909,45.9042
36,5.34679e+08,534679,0.0921375,1.19958,45.9086
37,5.34687e+08,534687,0.093627,1.19966,45.9067
38,5.34696e+08,534696,0.0957689,1.20153,45.9112
39,5.34704e+08,534704,0.0976368,1.20248,45.9123
40,5.34712e+08,534712,0.0991961,1.20431,45.9158
41,5.34721e+08,534721,0.100481,1.20543,45.9263
42,5.34729e+08,534729,0.103074,1.20626,45.9297
43,5.34737e+08,534737,0.103095,1.20713,45.9218
44,5.34746e+08,534746,0.104924,1.2085,45.9261
45,5.34754e+08,534754,0.105478,1.20932,45.9255
46,5.34762e+08,534762,0.106942,1.21063,45.9293
47,5.34771e+08,534771,0.108293,1.21143,45.9297
48,5.34779e+08,534779,0.110981,1.21255,45.9333
49,5.34787e+08,534787,0.111467,1.21347,45.9274
50,5.34796e+08,534796,0.113769,1.21411,45.9327
51,5.34804e+08,534804,0.115633,1.21541,45.9275
52,5.34812e+08,534812,0.117726,1.21622,45.9306
53,5.34821e+08,534821,0.119352,1.21645,45.9375
54,5.34829e+08,534829,0.121854,1.21812,45.9429
55,5.34837e+08,534837,0.12318,1.21827,45.9421
56,5.34846e+08,534846,0.125879,1.21922,45.9455
57,5.34854e+08,534854,0.127394,1.21993,45.9452
58,5.34862e+08,534862,0.129647,1.22117,45.9493
59,5.34871e+08,534871,0.132017,1.22189,45.9442
60,5.34879e+08,534879,0.133192,1.22338,45.9488
61,5.34887e+08,534887,0.133836,1.22426,45.9462
62,5.34896e+08,534896,0.136967,1.22502,45.9506
63,5.34904e+08,534904,0.138795,1.22542,45.9441
64,5.34912e+08,534912,0.141264,1.2267,45.9483
65,5.34921e+08,534921,0.142224,1.22635,45.9504
66,5.34929e+08,534929,0.143836,1.22706,45.9546
67,5.34937e+08,534937,0.144411,1.22648,45.9549
68,5.34946e+08,534946,0.147324,1.2273,45.9588
69,5.34954e+08,534954,0.148788,1.22753,45.9519
70,5.34962e+08,534962,0.150849,1.22977,45.9559
71,5.34971e+08,534971,0.151302,1.23121,45.9535
72,5.34979e+08,534979,0.153689,1.23241,45.9572
73,5.34987e+08,534987,0.154704,1.2328,45.9562
74,5.34996e+08,534996,0.156836,1.23406,45.9603
75,5.35004e+08,535004,0.157648,1.23411,45.9651
76,5.35012e+08,535012,0.159646,1.23495,45.9687
77,5.35021e+08,535021,0.160772,1.23613,45.9697
78,5.35029e+08,535029,0.16373,1.23714,45.9737
79,5.35037e+08,535037,0.16458,1.23744,45.964
80,5.35046e+08,535046,0.167732,1.23798,45.9685
81,5.35054e+08,535054,0.168999,1.23932,45.9684
82,5.35062e+08,535062,0.171005,1.24075,45.9727
83,5.35071e+08,535071,0.172102,1.24141,45.9707
84,5.35079e+08,535079,0.174784,1.24262,45.9742
85,5.35087e+08,535087,0.175728,1.24302,45.9739
86,5.35096e+08,535096,0.178562,1.24372,45.9779
87,5.35104e+08,535104,0.17999,1.24407,45.9741
88,5.35112e+08,535112,0.182987,1.24508,45.9776
89,5.35121e+08,535121,0.183205,1.24624,45.975
90,5.35129e+08,535129,0.187075,1.24797,45.9787
91,5.35137e+08,535137,0.188395,1.24885,45.9816
92,5.35146e+08,535146,0.190367,1.25009,45.9855
93,5.35154e+08,535154,0.192028,1.25103,45.9788
94,5.35162e+08,535162,0.193641,1.25317,45.9832
95,5.35171e+08,535171,0.194031,1.25341,45.9812
96,5.35179e+08,535179,0.196243,1.25418,45.9847
97,5.35187e+08,535187,0.197529,1.25494,45.9828
98,5.35196e+08,535196,0.199352,1.25539,45.9871
99,5.35204e+08,535204,0.199774,1.25618,45.9827
100,5.35212e+08,535212,0.202107,1.25726,45.9871
101,5.35221e+08,535221,0.202732,1.25748,45.98
102,5.35229e+08,535229,0.204545,1.25896,45.9843
103,5.35237e+08,535237,0.205514,1.25902,45.9849
104,5.35246e+08,535246,0.207708,1.25947,45.9889
105,5.35254e+08,535254,0.208251,1.25997,45.9897
106,5.35262e+08,535262,0.210656,1.26223,45.994
107,5.35271e+08,535271,0.21155,1.2627,45.9777
108,5.35279e+08,535279,0.214135,1.26414,45.9815
109,5.35287e+08,535287,0.214525,1.26495,45.9736
110,5.35296e+08,535296,0.217226,1.26683,45.9767
111,5.35304e+08,535304,0.217634,1.26727,45.9692
112,5.35312e+08,535312,0.220022,1.26865,45.9728
113,5.35321e+08,535321,0.220314,1.26954,45.9759
114,5.35329e+08,535329,0.222234,1.27044,45.98
115,5.35337e+08,535337,0.222668,1.27077,45.9807
116,5.35346e+08,535346,0.224945,1.27206,45.9831
117,5.35354e+08,535354,0.225561,1.27245,45.9782
118,5.35362e+08,535362,0.226981,1.27318,45.9828
119,5.35371e+08,535371,0.227303,1.27373,45.9803
120,5.35379e+08,535379,0.22971,1.27485,45.9827
121,5.35387e+08,535387,0.230151,1.27475,45.9803
122,5.35396e+08,535396,0.232398,1.27572,45.9832
123,5.35404e+08,535404,0.232923,1.27521,45.9776
124,5.35412e+08,535412,0.235023,1.27578,45.9809
125,5.35421e+08,535421,0.236199,1.27609,45.9777
