PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
105,5.42419e+08,542419,-1.34176,0.195853,-59.3443
106,5.42428e+08,542428,-1.35217,0.195429,-59.3474
107,5.42436e+08,542436,-1.35577,0.195683,-59.3693
108,5.42444e+08,542444,-1.36552,0.195,-59.3724
109,5.42453e+08,542453,-1.36953,0.193771,-59.3758
110,5.42461e+08,542461,-1.37982,0.194335,-59.3787
111,5.42469e+08,542469,-1.38324,0.193723,-59.4002
112,5.42478e+08,542478,-1.39295,0.193375,-59.4031
113,5.42486e+08,542486,-1.39617,0.192654,-59.4345
114,5.42494e+08,542494,-1.40654,0.192691,-59.4381
115,5.42503e+08,542503,-1.40917,0.192323,-59.4764
116,5.42511e+08,542511,-1.41913,0.191989,-59.4793
117,5.42519e+08,542519,-1.42238,0.192292,-59.4929
118,5.42528e+08,542528,-1.43167,0.192505,-59.4957
119,5.42536e+08,542536,-1.43403,0.19204,-59.5077
120,5.42544e+08,542544,-1.44352,0.191531,-59.5098
121,5.42553e+08,542553,-1.44635,0.191582,-59.5212
122,5.42561e+08,542561,-1.45626,0.192175,-59.5245
123,5.42569e+08,542569,-1.45922,0.192565,-59.5473
124,5.42578e+08,542578,-1.46828,0.191917,-59.55
125,5.42586e+08,542586,-1.47182,0.191508,-59.5423
126,5.42594e+08,542594,-1.48146,0.191985,-59.5448
127,5.42603e+08,542603,-1.48453,0.191957,-59.5691
128,5.42611e+08,542611,-1.49494,0.191881,-59.5716
129,5.42619e+08,542619,-1.49842,0.191657,-59.5767
130,5.42628e+08,542628,-1.50722,0.191275,-59.5798
131,5.42636e+08,542636,-1.5101,0.191245,-59.6154
132,5.42644e+08,542644,-1.51949,0.191106,-59.6178
133,5.42653e+08,542653,-1.52222,0.190311,-59.6293
134,5.42661e+08,542661,-1.5321,0.18986,-59.6312
135,5.42669e+08,542669,-1.53518,0.189875,-59.6451
136,5.42678e+08,542678,-1.54487,0.189896,-59.6482
137,5.42686e+08,542686,-1.54778,0.18988,-59.7447
138,5.42694e+08,542694,-1.55659,0.190346,-59.7483
139,5.42703e+08,542703,-1.5597,0.190149,-59.7271
140,5.42711e+08,542711,-1.56967,0.189177,-59.7293
141,5.42719e+08,542719,-1.57266,0.189007,-59.7239
142,5.42728e+08,542728,-1.58168,0.188501,-59.7269
143,5.42736e+08,542736,-1.58382,0.188252,-59.6994
144,5.42744e+08,542744,-1.59355,0.187966,-59.7024
145,5.42753e+08,542753,-1.59589,0.187648,-59.7012
146,5.42761e+08,542761,-1.60518,0.186946,-59.7048
147,5.42769e+08,542769,-1.60785,0.187238,-59.7443
148,5.42778e+08,542778,-1.61757,0.18754,-59.7479
149,5.42786e+08,542786,-1.61966,0.187126,-59.8433
150,5.42794e+08,542794,-1.62881,0.186479,-59.8464
151,5.42803e+08,542803,-1.631,0.186136,-59.8298
152,5.42811e+08,542811,-1.64059,0.185729,-59.8337
153,5.42819e+08,542819,-1.64303,0.185065,-60.0257
154,5.42828e+08,542828,-1.65253,0.184735,-60.0296
155,5.42836e+08,542836,-1.65499,0.184894,-60.085
156,5.42844e+08,542844,-1.66484,0.185146,-60.0877
157,5.42853e+08,542853,-1.66714,0.18444,-60.0763
158,5.42861e+08,542861,-1.6761,0.18298,-60.079
159,5.42869e+08,542869,-1.67805,0.18268,-60.1244
160,5.42878e+08,542878,-1.68666,0.182671,-60.1278
161,5.42886e+08,542886,-1.68831,0.183396,-60.1346
162,5.42894e+08,542894,-1.69729,0.183119,-60.1383
163,5.42903e+08,542903,-1.69901,0.1833,-60.1857
164,5.42911e+08,542911,-1.70859,0.182967,-60.1895
165,5.42919e+08,542919,-1.71049,0.182833,-60.1924
166,5.42928e+08,542928,-1.71992,0.182602,-60.1955
167,5.42936e+08,542936,-1.7215,0.182593,-60.1617
168,5.42944e+08,542944,-1.73009,0.182697,-60.166
169,5.42953e+08,542953,-1.73154,0.182608,-60.1354
170,5.42961e+08,542961,-1.74093,0.181462,-60.1398
171,5.42969e+08,542969,-1.74221,0.180738,-60.1392
172,5.42978e+08,542978,-1.75086,0.180793,-60.1424
173,5.42986e+08,542986,-1.75157,0.18022,-60.1788
174,5.42994e+08,542994,-1.7605,0.1807,-60.1828
175,5.43003e+08,543003,-1.76203,0.180801,-60.2248
176,5.43011e+08,543011,-1.77122,0.18038,-60.2287
177,5.43019e+08,543019,-1.77152,0.180798,-60.2545
178,5.43028e+08,543028,-1.78035,0.180198,-60.2589
179,5.43036e+08,543036,-1.78131,0.180018,-60.2351
180,5.43044e+08,543044,-1.79066,0.179987,-60.2392
181,5.43053e+08,543053,-1.79132,0.181105,-60.2338
182,5.43061e+08,543061,-1.79963,0.181625,-60.2374
183,5.43069e+08,543069,-1.80086,0.181928,-60.2093
184,5.43078e+08,543078,-1.80976,0.182041,-60.2131
185,5.43086e+08,543086,-1.8104,0.181529,-60.2248
186,5.43094e+08,543094,-1.81954,0.181635,-60.2288
187,5.43103e+08,543103,-1.82072,0.18106,-60.2416
188,5.43111e+08,543111,-1.82949,0.180019,-60.2464
189,5.43119e+08,543119,-1.82959,0.179657,-60.2618
190,5.43128e+08,543128,-1.83878,0.179844,-60.2663
191,5.43136e+08,543136,-1.83884,0.179916,-60.2933
192,5.43144e+08,543144,-1.8475,0.179945,-60.2975
193,5.43153e+08,543153,-1.84788,0.180496,-60.3162
194,5.43161e+08,543161,-1.85715,0.180552,-60.321
195,5.43169e+08,543169,-1.85693,0.179561,-60.3487
196,5.43178e+08,543178,-1.86533,0.178423,-60.3532
197,5.43186e+08,543186,-1.86538,0.178224,-60.3983
198,5.43194e+08,543194,-1.87451,0.177464,-60.4029
199,5.43203e+08,543203,-1.87503,0.177528,-60.3905
200,5.43211e+08,543211,-1.88433,0.176215,-60.3934
201,5.43219e+08,543219,-1.88385,0.176051,-60.452
202,5.43228e+08,543228,-1.8927,0.174947,-60.4554
203,5.43236e+08,543236,-1.89258,0.174462,-60.4361
204,5.43244e+08,543244,-1.90117,0.174496,-60.4405
205,5.43253e+08,543253,-1.9006,0.174278,-60.4494
206,5.43261e+08,543261,-1.90891,0.174102,-60.4534
207,5.43269e+08,543269,-1.90819,0.173215,-60.4422
