timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
58,-4.59095e-38,-0.352818,-0.100855,9.85989,2.88427,0.520404,-5.42749,3.99536,-0.590088
59,-4.59329e-38,-0.359516,-0.131844,9.83702,2.84907,0.397943,0.189941,3.99219,-0.585693
60,-4.59562e-38,-0.354293,-0.099256,9.87661,2.96537,0.382049,6.24951,3.9917,-0.593262
61,-4.59796e-38,-0.344383,-0.108896,9.91002,2.85168,0.540768,-0.497314,3.99609,-0.588379
62,-4.60029e-38,-0.360067,-0.123525,9.8812,2.87849,0.581738,-1.72607,3.99292,-0.585693
63,-4.60263e-38,-0.348248,-0.127905,9.909,2.97823,0.374826,-1.36035,3.99414,-0.587891
64,-4.60497e-38,-0.361456,-0.116375,9.89412,2.89142,0.388939,-0.627197,3.99463,-0.585205
65,-4.6073e-38,-0.355075,-0.131054,9.87825,2.84656,0.509365,-2.01782,3.99536,-0.590088
66,-4.60964e-38,-0.359128,-0.112368,9.86684,2.81979,0.407369,5.33228,3.99072,-0.584717
67,-4.61197e-38,-0.348651,-0.104905,9.86498,2.80947,0.381217,0.397461,3.99414,-0.588867
68,-4.61431e-38,-0.347791,-0.116662,9.88565,2.88821,0.378425,-1.54272,3.99316,-0.587891
69,-4.61664e-38,-0.35947,-0.10793,9.9038,2.79282,0.499529,6.43408,3.99097,-0.587891
70,-4.61898e-38,-0.352703,-0.105028,9.87275,2.81675,0.46705,1.70703,3.99536,-0.590576
71,-4.62131e-38,-0.35348,-0.105817,9.89124,2.94961,0.307115,-6.11011,3.99609,-0.586426
72,-4.62365e-38,-0.366471,-0.0851564,9.87969,2.92139,0.447391,-3.4624,3.99731,-0.592529
73,-4.62598e-38,-0.362359,-0.117684,9.87544,2.9034,0.428244,-7.47266,3.99487,-0.588379
74,-4.62832e-38,-0.357556,-0.115618,9.86824,2.87285,0.49634,-6.81812,3.99585,-0.588867
75,-4.63065e-38,-0.350927,-0.107623,9.87733,2.95623,0.483046,1.46802,3.99731,-0.587891
76,-4.63299e-38,-0.344491,-0.116894,9.85769,2.91185,0.45642,6.69019,3.99561,-0.586182
77,-4.63533e-38,-0.347328,-0.123316,9.86173,2.80624,0.507418,-0.543213,3.99072,-0.592041
78,-4.63766e-38,-0.3552,-0.107814,9.8705,2.77123,0.483802,6.00903,3.99487,-0.586182
79,-4.64e-38,-0.364956,-0.0995874,9.87765,2.86873,0.383022,-7.02368,3.99243,-0.588379
80,-4.64233e-38,-0.368997,-0.088254,9.87007,2.83924,0.393896,-3.5896,3.99365,-0.588379
81,-4.64467e-38,-0.353701,-0.111712,9.87666,2.90071,0.324532,3.54468,3.99414,-0.588867
82,-4.647e-38,-0.342419,-0.137062,9.92547,2.94174,0.436492,-6.31226,3.98999,-0.591553
83,-4.64934e-38,-0.349517,-0.108886,9.87328,2.81928,0.375018,6.21924,3.99463,-0.586426
84,-4.65167e-38,-0.33971,-0.120263,9.90692,2.99612,0.476681,-3.01074,3.99243,-0.591064
85,-4.65401e-38,-0.343572,-0.108446,9.859,2.86552,0.413388,4.59082,3.99658,-0.588867
86,-4.65634e-38,-0.366104,-0.0957053,9.87507,2.83821,0.438029,3.2832,3.99341,-0.586426
87,-4.65868e-38,-0.374671,-0.115353,9.87231,2.82059,0.494201,-5.4812,3.99634,-0.590088
88,-4.66102e-38,-0.331409,-0.11642,9.85994,2.92753,0.382625,-2.70044,3.99561,-0.585693
89,-4.66335e-38,-0.359941,-0.12536,9.87867,2.86721,0.411416,-0.129639,3.99585,-0.589355
90,-4.66569e-38,-0.338594,-0.11973,9.8806,2.91891,0.445777,-7.91455,3.9917,-0.584229
91,-4.66802e-38,-0.369901,-0.0987763,9.86695,2.84338,0.468945,-6.63501,3.99561,-0.589355
92,-4.67036e-38,-0.354741,-0.110324,9.89701,2.82241,0.509928,4.53687,3.9978,-0.587891
93,-4.67269e-38,-0.368265,-0.110276,9.87514,2.78437,0.443408,2.12964,3.99316,-0.586914
94,-4.67503e-38,-0.35101,-0.118513,9.89778,2.81088,0.327376,-6.83936,3.9917,-0.591064
95,-4.67736e-38,-0.353575,-0.11775,9.90709,2.84026,0.488284,4.74634,3.99756,-0.583252
96,-4.6797e-38,-0.345441,-0.131569,9.87677,2.88354,0.524541,-0.471191,3.99609,-0.591553
97,-4.68203e-38,-0.346571,-0.135595,9.89731,2.8731,0.469842,-7.9978,3.99512,-0.587891
98,-4.68437e-38,-0.331967,-0.112173,9.88379,2.82791,0.407036,-6.53027,3.99585,-0.584717
99,-4.6867e-38,-0.331117,-0.116815,9.89337,2.9113,0.493112,-2.67163,3.9939,-0.587402
100,-4.68904e-38,-0.355685,-0.115909,9.88423,2.88995,0.477552,5.85522,3.99243,-0.586426
101,-4.69138e-38,-0.350539,-0.105108,9.86933,2.77333,0.350249,-2.85425,3.99316,-0.589355
102,-4.69371e-38,-0.371837,-0.124857,9.85929,2.94144,0.430217,3.48901,3.99609,-0.584717
103,-4.69605e-38,-0.354313,-0.119938,9.88323,2.86851,0.370203,0.761719,3.99561,-0.589844
104,-4.69838e-38,-0.357878,-0.0941771,9.87127,2.91403,0.449069,3.59668,3.99438,-0.587891
105,-4.70072e-38,-0.354854,-0.0879105,9.87854,2.89864,0.432368,-3.17554,3.99805,-0.588867
106,-4.70413e-38,-0.350921,-0.115247,9.8709,2.8408,0.490154,4.32935,3.99536,-0.593262
107,-4.7088e-38,-0.345582,-0.0907574,9.87551,2.7846,0.427399,4.28223,3.99146,-0.586914
108,-4.71347e-38,-0.346495,-0.0931037,9.89416,2.77154,0.3211,-3.37671,3.99146,-0.591064
109,-4.71814e-38,-0.351154,-0.107427,9.89137,2.84533,0.330859,4.17578,3.99292,-0.586914
110,-4.72281e-38,-0.351951,-0.103986,9.91526,2.87666,0.464796,-5.11304,3.99487,-0.587402
111,-4.72748e-38,-0.352826,-0.114434,9.87749,2.87261,0.527909,7.63379,3.99585,-0.586914
112,-4.73215e-38,-0.350745,-0.135376,9.88976,2.93178,0.424991,-4.37842,3.99536,-0.585205
113,-4.73682e-38,-0.344517,-0.141905,9.89588,2.8065,0.470892,7.16553,3.99292,-0.589355
114,-4.74149e-38,-0.335589,-0.129707,9.8809,2.90637,0.365771,-3.80029,3.99463,-0.584229
115,-4.74616e-38,-0.337961,-0.117116,9.89886,2.85893,0.461902,-4.6377,3.99292,-0.590576
