timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-8.29604e-39,0,0,0,0,0,0,0,-0.243408
1,-8.30772e-39,-0.0605436,-0.273198,9.98504,-0.721297,-0.713177,3.5249,4.0105,-0.244385
2,-8.3194e-39,-0.0666573,-0.289317,9.9905,-0.859025,-0.726164,7.69507,4.01074,-0.241699
3,-8.33108e-39,-0.0767106,-0.297834,10.0308,-0.860638,-0.729442,-4.2666,4.01147,-0.241943
4,-8.34275e-39,-0.0519832,-0.304498,9.95563,-0.772167,-0.760692,-4.18726,4.01099,-0.245117
5,-8.35443e-39,-0.0475825,-0.290645,10.0307,-0.716302,-0.670606,-4.08179,4.0105,-0.240967
6,-8.36611e-39,-0.0577578,-0.300754,9.96109,-0.770604,-0.768837,0.24707,4.01001,-0.245605
7,-8.37778e-39,-0.0475678,-0.290965,9.99585,-0.82944,-0.685181,5.25586,4.0105,-0.241943
8,-8.38946e-39,-0.0557221,-0.282914,10.0215,-0.673885,-0.764149,4.47021,4.00977,-0.243408
9,-8.40114e-39,-0.0763716,-0.284163,10.0178,-0.775497,-0.777059,-7.5708,4.01099,-0.248047
10,-8.41281e-39,-0.0737733,-0.296168,9.98298,-0.729212,-0.629675,-1.77515,4.01172,-0.243408
11,-8.42449e-39,-0.062291,-0.313495,10.0086,-0.784948,-0.594993,-0.381836,4.00952,-0.249512
12,-8.43617e-39,-0.06333,-0.305363,9.98475,-0.722911,-0.68869,-0.645264,4.01001,-0.240967
13,-8.44785e-39,-0.0513036,-0.284494,9.99756,-0.695017,-0.687102,6.0957,4.01025,-0.243896
14,-8.45952e-39,-0.0372023,-0.271241,9.99753,-0.704878,-0.711768,3.28784,4.01147,-0.24707
15,-8.4712e-39,-0.0513802,-0.297464,9.99201,-0.719862,-0.75585,-7.38599,4.01001,-0.242432
16,-8.48288e-39,-0.0594281,-0.289275,10.0177,-0.632979,-0.761127,5.96436,4.01025,-0.243164
17,-8.49455e-39,-0.0494297,-0.306791,10.0158,-0.752572,-0.732772,-6.521,4.01025,-0.244385
18,-8.50623e-39,-0.0558145,-0.305935,10.0121,-0.672041,-0.680596,7.87939,4.00977,-0.245605
19,-8.51791e-39,-0.069366,-0.282959,9.99199,-0.777597,-0.824394,-6.41455,4.00928,-0.244385
20,-8.52958e-39,-0.0534976,-0.269557,10.0048,-0.749498,-0.78523,-4.02856,4.01001,-0.24585
21,-8.54126e-39,-0.0635705,-0.285195,9.99743,-0.769247,-0.771885,6.51733,4.0083,-0.245605
22,-8.55294e-39,-0.0426486,-0.308433,9.99547,-0.783872,-0.771936,-6.41528,4.00977,-0.241455
23,-8.56462e-39,-0.0542674,-0.289324,10.0083,-0.813098,-0.721041,6.98706,4.0105,-0.245605
24,-8.57629e-39,-0.0442275,-0.307144,10.0375,-0.739406,-0.709796,-3.60742,4.00854,-0.245361
25,-8.58797e-39,-0.0361377,-0.311875,10.0063,-0.79171,-0.678342,1.55981,4.00879,-0.245361
26,-8.59965e-39,-0.0530931,-0.300298,9.99176,-0.836663,-0.852109,-5.10571,4.01123,-0.246582
27,-8.61132e-39,-0.0650127,-0.286307,9.98449,-0.765738,-0.739201,-1.24731,4.00928,-0.242432
28,-8.623e-39,-0.0785885,-0.274405,9.98273,-0.77501,-0.635873,-6.88623,4.00903,-0.250488
29,-8.63468e-39,-0.0612111,-0.283098,10.0211,-0.670632,-0.743146,7.74854,4.00977,-0.243896
30,-8.64635e-39,-0.0527617,-0.269475,10.0138,-0.701753,-0.757848,-7.62329,4.01099,-0.243652
31,-8.65803e-39,-0.0394685,-0.30903,10.0007,-0.649577,-0.781004,-1.61572,4.00977,-0.243164
32,-8.66971e-39,-0.0309035,-0.297371,10.019,-0.729673,-0.727905,-1.14185,4.00879,-0.241455
33,-8.68139e-39,-0.0591807,-0.283244,9.99171,-0.727829,-0.723167,-1.4585,4.01025,-0.250488
