PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.15267e+08,515267,-1.04889,-58.9129,22.7319
1,5.15275e+08,515275,-1.03109,-58.9223,22.7131
2,5.15283e+08,515283,-1.01315,-58.932,22.6933
3,5.15292e+08,515292,-1.00171,-58.9304,22.6398
4,5.153e+08,515300,-0.983342,-58.9399,22.6202
5,5.15308e+08,515308,-0.991952,-58.9421,22.592
6,5.15317e+08,515317,-0.974736,-58.951,22.5733
7,5.15325e+08,515325,-0.981547,-58.9593,22.568
8,5.15333e+08,515333,-0.96385,-58.9689,22.548
9,5.15342e+08,515342,-0.951335,-58.9662,22.5456
10,5.1535e+08,515350,-0.93356,-58.9753,22.5268
11,5.15358e+08,515358,-0.92795,-58.9718,22.5124
12,5.15367e+08,515367,-0.909953,-58.9815,22.4922
13,5.15375e+08,515375,-0.909977,-58.9803,22.4926
14,5.15383e+08,515383,-0.890241,-58.9893,22.4717
15,5.15392e+08,515392,-0.892122,-58.9913,22.4954
16,5.154e+08,515400,-0.87424,-59.0012,22.4767
17,5.15408e+08,515408,-0.876339,-59.0036,22.4715
18,5.15417e+08,515417,-0.857077,-59.0125,22.4515
19,5.15425e+08,515425,-0.853748,-59.0163,22.4653
20,5.15433e+08,515433,-0.834312,-59.026,22.445
21,5.15442e+08,515442,-0.829284,-59.0327,22.4578
22,5.1545e+08,515450,-0.811254,-59.0424,22.4382
23,5.15458e+08,515458,-0.806504,-59.0489,22.4417
24,5.15467e+08,515467,-0.787024,-59.0579,22.4219
25,5.15475e+08,515475,-0.782805,-59.0617,22.4213
26,5.15483e+08,515483,-0.764513,-59.0712,22.4021
27,5.15492e+08,515492,-0.761804,-59.0743,22.3989
28,5.155e+08,515500,-0.743165,-59.0836,22.378
29,5.15508e+08,515508,-0.739793,-59.0881,22.3749
30,5.15517e+08,515517,-0.720921,-59.0974,22.355
31,5.15525e+08,515525,-0.717214,-59.1,22.3546
32,5.15533e+08,515533,-0.698553,-59.1097,22.3357
33,5.15542e+08,515542,-0.692636,-59.1128,22.352
34,5.1555e+08,515550,-0.676094,-59.1219,22.335
35,5.15558e+08,515558,-0.670861,-59.1243,22.3309
36,5.15567e+08,515567,-0.652364,-59.133,22.3114
37,5.15575e+08,515575,-0.645346,-59.1361,22.3198
38,5.15583e+08,515583,-0.626934,-59.1456,22.3006
39,5.15592e+08,515592,-0.620405,-59.1481,22.3093
40,5.156e+08,515600,-0.60132,-59.1576,22.2886
41,5.15608e+08,515608,-0.595607,-59.1592,22.2678
42,5.15617e+08,515617,-0.575978,-59.1685,22.2479
43,5.15625e+08,515625,-0.569042,-59.1716,22.2504
44,5.15633e+08,515633,-0.549366,-59.1807,22.2296
45,5.15642e+08,515642,-0.542081,-59.1833,22.2299
46,5.1565e+08,515650,-0.52295,-59.1917,22.2098
47,5.15658e+08,515658,-0.517762,-59.1947,22.2126
48,5.15667e+08,515667,-0.498332,-59.2035,22.192
49,5.15675e+08,515675,-0.49272,-59.2071,22.1886
50,5.15683e+08,515683,-0.473779,-59.2167,22.1683
51,5.15692e+08,515692,-0.46551,-59.22,22.1579
52,5.157e+08,515700,-0.446144,-59.2295,22.1375
53,5.15708e+08,515708,-0.438884,-59.233,22.1296
54,5.15717e+08,515717,-0.421294,-59.241,22.1106
